FID,sa4_code21,sa4_name21,sa4,week,resp_n_1920,resp_rate_1920,resp_n_1419,resp_rate_1419,asth_n_1920,asth_rate_1920,asth_n_1419,asth_rate_1419,copd_n_1920,copd_rate_1920,copd_n_1419,copd_rate_1419,bre_n_1920,bre_rate_1920,bre_n_1419,bre_rate_1419,hea_n_1920,hea_rate_1920,hea_n_1419,hea_rate_1419,heaa_n_1920,heaa_rate_1920,heaa_n_1419,heaa_rate_1419,cere_n_1920,cere_rate_1920,cere_n_1419,cere_rate_1419,ches_n_1920,ches_rate_1920,ches_n_1419,ches_rate_1419,men_n_1920,men_rate_1920,men_n_1419,men_rate_1419,burn_n_1920,burn_rate_1920,burn_n_1419,burn_rate_1419,deh_n_1920,deh_rate_1920,deh_n_1419,deh_rate_1419
s4_geo.fid--2c346315_187d5bf56ff_59ab,102,Central Coast,102,2019-11-17T00:00:00,191,55.89027786,212,61.62504196,18,5.26714659,30,8.72052479,14,4.09666967,20,5.81368303,26,7.60810089,37,10.75531387,82,23.99477959,73,21.21994209,20,5.85238552,11,3.19752574,15,4.3892889,19,5.52299881,91,26.62835312,96,27.9056797,93,27.21359253,80,23.25473213,11,3.21881199,18,5.23231459,5,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_59ac,102,Central Coast,102,2019-11-24T00:00:00,200,58.5238533,202,58.71820068,27,7.90072012,21,6.10436726,16,4.68190813,8,NaN,34,9.94905472,22,6.39505148,69,20.19072914,73,21.21994209,11,3.21881199,15,4.36026239,19,5.55976582,14,4.06957817,92,26.92097282,88,25.58020592,69,20.19072914,103,29.94046783,12,3.51143122,12,3.48820996,NaN,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_59ad,102,Central Coast,102,2019-12-01T00:00:00,175,51.20837021,223,64.82256317,27,7.90072012,42,12.20873356,6,NaN,21,6.10436726,30,8.7785778,33,9.59257698,94,27.50621033,74,21.51062775,15,4.3892889,24,6.97641993,15,4.3892889,14,4.06957817,100,29.26192665,107,31.10320473,85,24.8726368,100,29.06841469,12,3.51143122,17,4.94163036,8,NaN,8,NaN
s4_geo.fid--2c346315_187d5bf56ff_59ae,102,Central Coast,102,2019-12-08T00:00:00,205,59.98694992,235,68.31077576,25,7.31548166,36,10.46463013,17,4.97452736,13,3.77889395,24,7.02286243,29,8.42984009,82,23.99477959,68,19.76652145,16,4.68190813,18,5.23231459,22,6.43762398,13,3.77889395,116,33.94383621,116,33.71936035,98,28.67668724,112,32.55662537,18,5.26714659,13,3.77889395,11,3.21881199,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_59af,102,Central Coast,102,2019-12-15T00:00:00,192,56.18289948,232,67.4387207,19,5.55976582,24,6.97641993,9,NaN,23,6.6857357,27,7.90072012,23,6.6857357,80,23.40954018,74,21.51062775,11,3.21881199,7,NaN,25,7.31548166,19,5.52299881,123,35.99216843,87,25.28952026,87,25.45787621,93,27.03362656,17,4.97452736,15,4.36026239,13,3.80405045,12,3.48820996
s4_geo.fid--2c346315_187d5bf56ff_59b0,102,Central Coast,102,2019-12-22T00:00:00,211,61.74266434,253,73.54309082,16,4.68190813,24,6.97641993,16,4.68190813,17,4.94163036,22,6.43762398,30,8.72052479,61,17.84977531,68,19.76652145,13,3.80405045,11,3.19752574,19,5.55976582,14,4.06957817,96,28.09144974,96,27.9056797,87,25.45787621,86,24.99883652,21,6.14500475,11,3.19752574,NaN,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_59b1,102,Central Coast,102,2019-12-29T00:00:00,200,58.5238533,250,72.67103577,18,5.26714659,17,4.94163036,9,NaN,18,5.23231459,26,7.60810089,30,8.72052479,73,21.36120605,76,22.09199524,17,4.97452736,14,4.06957817,18,5.26714659,17,4.94163036,98,28.67668724,90,26.16157341,80,23.40954018,87,25.28952026,11,3.21881199,26,7.5577879,11,3.21881199,8,NaN
s4_geo.fid--2c346315_187d5bf56ff_59b2,102,Central Coast,102,2020-01-05T00:00:00,178,52.08622742,175,50.86972809,16,4.68190813,17,4.94163036,17,4.97452736,19,5.52299881,22,6.43762398,30,8.72052479,79,23.11692238,78,22.67336464,11,3.21881199,14,4.06957817,25,7.31548166,15,4.36026239,112,32.77335739,122,35.46346664,80,23.40954018,92,26.74294281,13,3.80405045,28,8.13915634,8,NaN,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_59b3,102,Central Coast,102,2020-01-12T00:00:00,151,44.18550873,151,43.89330673,15,4.3892889,16,4.65094662,12,3.51143122,10,2.90684152,35,10.24167442,23,6.6857357,75,21.94644547,71,20.6385746,9,NaN,10,2.90684152,24,7.02286243,18,5.23231459,111,32.48073959,91,26.45225716,88,25.75049591,95,27.61499405,17,4.97452736,24,6.97641993,11,3.21881199,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_59b4,102,Central Coast,102,2020-01-19T00:00:00,143,41.8445549,168,48.83493805,20,5.85238552,14,4.06957817,8,NaN,16,4.65094662,24,7.02286243,35,10.17394543,67,19.60549164,80,23.25473213,12,3.51143122,20,5.81368303,18,5.26714659,17,4.94163036,113,33.06597519,119,34.59141541,86,25.1652565,110,31.97525787,19,5.55976582,18,5.23231459,NaN,NaN,9,NaN
s4_geo.fid--2c346315_187d5bf56ff_59b5,102,Central Coast,102,2020-01-26T00:00:00,197,57.64599609,206,59.88093567,19,5.55976582,18,5.23231459,12,3.51143122,13,3.77889395,22,6.43762398,35,10.17394543,60,17.55715561,68,19.76652145,8,NaN,11,3.19752574,16,4.68190813,14,4.06957817,100,29.26192665,128,37.20757294,123,35.99216843,101,29.35910034,13,3.80405045,19,5.52299881,10,2.92619252,12,3.48820996
s4_geo.fid--2c346315_187d5bf56ff_59b6,102,Central Coast,102,2020-02-02T00:00:00,212,62.03528214,175,50.86972809,31,9.07119751,15,4.36026239,14,4.09666967,12,3.48820996,37,10.82691288,25,7.26710367,78,22.82430267,83,24.12678528,9,NaN,15,4.36026239,18,5.26714659,13,3.77889395,96,28.09144974,112,32.55662537,86,25.1652565,95,27.61499405,14,4.09666967,7,NaN,NaN,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_59b7,102,Central Coast,102,2020-02-09T00:00:00,207,60.57218933,230,66.85735321,36,10.53429413,19,5.52299881,8,NaN,19,5.52299881,33,9.65643597,40,11.62736607,68,19.89810944,85,24.70815277,12,3.51143122,16,4.65094662,19,5.55976582,15,4.36026239,110,32.18811798,96,27.9056797,106,31.01764107,107,31.10320473,18,5.26714659,18,5.23231459,11,3.21881199,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_59b8,102,Central Coast,102,2020-02-16T00:00:00,200,58.5238533,256,74.41514587,30,8.7785778,39,11.33668232,12,3.51143122,9,NaN,26,7.60810089,38,11.04599762,80,23.40954018,78,22.67336464,13,3.80405045,8,NaN,11,3.21881199,17,4.94163036,115,33.6512146,147,42.73057175,92,26.92097282,75,21.80131149,22,6.43762398,27,7.84847212,7,NaN,7,NaN
s4_geo.fid--2c346315_187d5bf56ff_59b9,102,Central Coast,102,2020-02-23T00:00:00,213,62.32790375,260,75.57788086,37,10.82691288,27,7.84847212,12,3.51143122,14,4.06957817,27,7.90072012,26,7.5577879,63,18.43501472,70,20.34789085,NaN,NaN,13,3.77889395,22,6.43762398,15,4.36026239,129,37.74788666,107,31.10320473,111,32.48073959,129,37.49825668,11,3.21881199,19,5.52299881,NaN,NaN,NaN,NaN
