"id","date","vaccine","sentiment"
"1488073104295620611","20220131","none","neutral"
"1488089169385590784","20220131","none","negative"
"1488144984712749056","20220131","none","neutral"
"1488100589926219777","20220131","",""
"1488158063245012996","20220131","none","negative"
"1488112810265485319","20220131","",""
"1488184392912891905","20220131","none","neutral"
"1488188470967566336","20220131","none","neutral"
"1488243774891659265","20220131","none","neutral"
"1488261395195957249","20220131","none","neutral"
"1488267037999005696","20220131","none","negative"
"1488269746902421505","20220131","novavax","negative"
"1488270695662764032","20220131","none","negative"
"1488270895625818115","20220131","none","neutral"
"1488272161835925505","20220131","none","neutral"
"1488274101319786497","20220131","none","neutral"
"1488276521827844098","20220131","none","neutral"
"1488284203313549316","20220131","none","neutral"
"1488284780508549121","20220131","none","neutral"
"1488282921651695616","20220131","",""
"1488289730106380290","20220131","none","neutral"
"1488292938597613570","20220131","none","negative"
"1488300517713674241","20220131","none","neutral"
"1488286006004502528","20220131","",""
"1488301264152711173","20220201","none","neutral"
"1488301348198047747","20220201","none","neutral"
"1488301400388169728","20220201","none","neutral"
"1488301656651755523","20220201","none","neutral"
"1488301684309000194","20220201","none","neutral"
"1488301696627650562","20220201","none","neutral"
"1488301822045417472","20220201","none","neutral"
"1488302201248309258","20220201","none","negative"
"1488302224023322624","20220201","none","neutral"
"1488302274267205634","20220201","none","negative"
"1488302459500232704","20220201","none","negative"
"1488302485106479107","20220201","pfizer","positive"
"1488302622104702982","20220201","none","neutral"
"1488302699989061638","20220201","none","neutral"
"1488303180148801540","20220201","novavax","neutral"
"1488303273664606209","20220201","none","positive"
"1488303877396992002","20220201","pfizer","positive"
"1488303999270850563","20220201","none","neutral"
"1488304125008031745","20220201","none","neutral"
"1488304258017492993","20220201","pfizer","positive"
"1488304346949648385","20220201","none","negative"
"1488304619344515072","20220201","none","neutral"
"1488304129948909569","20220201","",""
"1488304651933937665","20220201","none","neutral"
"1488304888119451651","20220201","none","neutral"
"1488305413065887746","20220201","none","neutral"
"1488305421685501952","20220201","none","neutral"
"1488305555743866883","20220201","none","neutral"
"1488305617437614082","20220201","none","neutral"
"1488305725940154368","20220201","none","neutral"
"1488305772086050818","20220201","none","neutral"
"1488305945805406210","20220201","none","negative"
"1488306442172268545","20220201","moderna","neutral"
"1488306488988745732","20220201","none","neutral"
"1488307234207842304","20220201","none","negative"
"1488307431377489924","20220201","none","negative"
"1488307433868955651","20220201","none","neutral"
"1488307634868723716","20220201","none","neutral"
"1488308243072172035","20220201","moderna","neutral"
"1488308310751150080","20220201","none","negative"
"1488308355370160128","20220201","none","negative"
"1488308368259391489","20220201","none","neutral"
"1488308580134830080","20220201","none","neutral"
"1488308889057587202","20220201","none","neutral"
"1488309349021741062","20220201","none","neutral"
"1488309597798793216","20220201","none","negative"
"1488309635383627777","20220201","none","neutral"
"1488309653511753729","20220201","none","neutral"
"1488309743936741379","20220201","none","neutral"
"1488309885653893120","20220201","none","neutral"
"1488309959641419777","20220201","none","neutral"
"1488310490308612100","20220201","none","neutral"
"1488310122892111877","20220201","none","neutral"
"1488310709725241345","20220201","none","negative"
"1488310806752415744","20220201","none","neutral"
"1488310813353910273","20220201","none","neutral"
"1488310947198681091","20220201","none","neutral"
"1488311082842476547","20220201","none","neutral"
"1488311141311070208","20220201","none","neutral"
"1488311233325731844","20220201","none","neutral"
"1488311366813306883","20220201","none","neutral"
"1488311443351306244","20220201","none","neutral"
"1488311564822548480","20220201","none","neutral"
"1488311765905514499","20220201","none","neutral"
"1488311907370954753","20220201","none","neutral"
"1488312091274530817","20220201","none","negative"
"1488311807236534275","20220201","",""
"1488312694537031684","20220201","none","neutral"
"1488312996145565696","20220201","none","neutral"
"1488313264219963393","20220201","none","neutral"
"1488313424946003968","20220201","none","negative"
"1488313470559059968","20220201","none","neutral"
"1488313562737307649","20220201","none","neutral"
"1488313995266170882","20220201","none","neutral"
"1488314055358300161","20220201","none","neutral"
"1488314154792284160","20220201","none","negative"
"1488314491716907009","20220201","none","neutral"
"1488314510289289217","20220201","none","neutral"
"1488314629818183685","20220201","none","neutral"
"1488314668460306432","20220201","pfizer","positive"
"1488314664022732803","20220201","novavax","negative"
"1488314725460951040","20220201","none","negative"
"1488314916964814851","20220201","none","neutral"
"1488314994290999296","20220201","none","neutral"
"1488315142123126784","20220201","none","neutral"
"1488315673524977664","20220201","none","neutral"
"1488315874062778372","20220201","none","neutral"
"1488316117596917760","20220201","none","neutral"
"1488316129948749824","20220201","none","neutral"
"1488316232210292739","20220201","none","neutral"
"1488316392205996033","20220201","none","negative"
"1488316671853228032","20220201","none","neutral"
"1488317304635260928","20220201","pfizer","negative"
"1488317397304225793","20220201","none","neutral"
"1488317513662623746","20220201","none","neutral"
"1488317540732641282","20220201","none","negative"
"1488317634387267585","20220201","none","neutral"
"1488318024910139393","20220201","none","neutral"
"1488318249628749826","20220201","none","negative"
"1488318293807341570","20220201","pfizer","negative"
"1488318688021282823","20220201","none","neutral"
"1488318694652784640","20220201","none","neutral"
"1488318721274056706","20220201","none","neutral"
"1488319106222723073","20220201","none","neutral"
"1488319670528581632","20220201","none","neutral"
"1488319769619365888","20220201","none","negative"
"1488319965187182596","20220201","none","neutral"
"1488320064554090497","20220201","none","neutral"
"1488320229188915202","20220201","pfizer","positive"
"1488320320545058822","20220201","none","neutral"
"1488320338651856897","20220201","none","neutral"
"1488320506357227520","20220201","none","negative"
"1488320854513848320","20220201","none","neutral"
"1488320922373472257","20220201","none","neutral"
"1488320953914257408","20220201","none","neutral"
"1488322274965209091","20220201","none","neutral"
"1488321164128579585","20220201","none","neutral"
"1488322311648264193","20220201","none","neutral"
"1488322393726603266","20220201","none","neutral"
"1488322694064279553","20220201","none","neutral"
"1488322822757826561","20220201","none","neutral"
"1488323102149058560","20220201","none","neutral"
"1488322537230581763","20220201","",""
"1488323152132571136","20220201","pfizer","positive"
"1488323240577548288","20220201","none","neutral"
"1488323357808345089","20220201","moderna","negative"
"1488323311629000708","20220201","none","neutral"
"1488323432278532099","20220201","none","negative"
"1488323755956912134","20220201","none","neutral"
"1488323720309477376","20220201","none","neutral"
"1488323895971422208","20220201","none","neutral"
"1488323906624581633","20220201","none","neutral"
"1488323969342185480","20220201","none","neutral"
"1488323974614241283","20220201","none","negative"
"1488324005622784002","20220201","none","negative"
"1488324175664414720","20220201","none","negative"
"1488324197445218308","20220201","none","neutral"
"1488324661876510722","20220201","none","neutral"
"1488324759611793411","20220201","pfizer","negative"
"1488324864712876034","20220201","none","neutral"
"1488324985458511882","20220201","none","neutral"
"1488325232649666560","20220201","none","negative"
"1488325582605930496","20220201","none","negative"
"1488325588892880897","20220201","none","neutral"
"1488325776634093568","20220201","none","negative"
"1488325890794610691","20220201","none","negative"
"1488326443339685897","20220201","none","neutral"
"1488326459853000704","20220201","none","neutral"
"1488326463577550848","20220201","none","negative"
"1488326223088414722","20220201","",""
"1488326520946905088","20220201","none","negative"
"1488326670050537472","20220201","none","negative"
"1488326875017449473","20220201","none","negative"
"1488327242279456768","20220201","none","neutral"
"1488327631250821122","20220201","none","negative"
"1488326715839774721","20220201","",""
"1488328041436626944","20220201","none","negative"
"1488328186530197505","20220201","none","neutral"
"1488328202812817408","20220201","none","neutral"
"1488328339706105857","20220201","none","neutral"
"1488328388297183232","20220201","none","neutral"
"1488328524352344067","20220201","none","neutral"
"1488328651007422465","20220201","none","negative"
"1488329480972161025","20220201","none","neutral"
"1488329541370388481","20220201","none","neutral"
"1488328913579540481","20220201","moderna","negative"
"1488329932753502210","20220201","none","neutral"
"1488330040509370369","20220201","none","negative"
"1488330207471702022","20220201","moderna","positive"
"1488330348664877056","20220201","none","neutral"
"1488330265600528386","20220201","none","neutral"
"1488330804740509696","20220201","none","neutral"
"1488331282488737794","20220201","none","neutral"
